Altium Designer Pick and Place Locations
L1         6.8uH          TopLayer CDRH3D16_4.2*1.8                   4514.150      3043.032      180      
R4         1k             TopLayer 0805R                              6752.008      4239.055      180      
R3         1k             TopLayer 0805R                              6752.008      4149.055      180      
LM1        LM2940         TopLayer SOT-223                            4641.039      3597.228      270      
S3         SW-SPST        TopLayer SWITCH                             5657.008      4894.941      270      
S1         SW-SPST        TopLayer SWITCH                             4287.008      3914.055      270      
U6         HCPL0631       TopLayer SOP_8(OPA)                         6507.008      3594.055      180      
U5         HCPL0631       TopLayer SOP_8(OPA)                         6507.008      3894.055      180      
U4         MIC29302       TopLayer TO_263_5(10.5*8.4mm)               4381.949      4495.118      0        
U3         HCPL0631       TopLayer SOP_8(OPA)                         6507.008      4194.055      180      
U2         LM2663         TopLayer SOP_8(OPA)                         5087.008      3374.055      90       
U1         TPS73633       TopLayer SOT23_5-LEADS                      5487.008      3124.173      0        
S2         "SW DIP-4"     TopLayer 4-way_dip_switch                   7609.528      4509.055      0        
R31        1k             TopLayer 0805R                              7432.008      3359.055      90       
R30        1k             TopLayer 0603R                              7617.008      3724.055      90       
R29        1k             TopLayer 0805R                              6676.496      2944.055      90       
R28        1k             TopLayer 0805R                              6563.504      2944.055      90       
R27        1k             TopLayer 0805R                              6450.512      2944.055      90       
R26        1k             TopLayer 0805R                              6337.520      2944.055      90       
R25        1k             TopLayer 0603R                              7617.008      3954.055      90       
R24        1k             TopLayer 0805R                              6752.008      3639.055      180      
R23        1k             TopLayer 0603R                              7321.929      4359.055      180      
R22        1k             TopLayer 0603R                              7321.929      4459.055      180      
R21        1k             TopLayer 0805R                              6752.008      3549.055      180      
R20        1k             TopLayer 0603R                              7321.929      4559.055      180      
R19        1k             TopLayer 0805R                              6262.008      3549.055      0        
R18        1k             TopLayer 0805R                              6262.008      3639.055      0        
R17        1k             TopLayer 0603R                              7322.008      4659.055      180      
R16        3.3k           TopLayer 0603R                              5272.008      4794.055      270      
R15        3.3k           TopLayer 0603R                              5127.008      4794.055      270      
R14        3.3k           TopLayer 0603R                              6797.008      4794.055      270      
R13        2.2k           TopLayer 0603R                              6652.008      4794.055      270      
R12        1k             TopLayer 0603R                              6507.008      4794.055      270      
R11        1k             TopLayer 0805R                              6752.008      3939.055      180      
R10        1k             TopLayer 0805R                              6752.008      3849.055      180      
R9         1k             TopLayer 0805R                              6262.008      3849.055      0        
R8         1k             TopLayer 0805R                              6262.008      3939.055      0        
R7         1k             TopLayer 0805R                              4557.008      4754.055      180      
R6         1k             TopLayer 0805R                              4937.008      4539.055      90       
R5         3.9k           TopLayer 0805R                              4557.008      4834.055      0        
R2         1k             TopLayer 0805R                              6262.008      4149.055      0        
R1         1k             TopLayer 0805R                              6262.008      4239.055      0        
Q1         2N3904         TopLayer TO-92A                             7567.008      3359.055      180      
LS1        Bell           TopLayer Buzzer_side_mounted                7742.008      3210.197      90       
L2         100M           TopLayer 0603R                              5347.008      3699.055      270      
J17        CON2           TopLayer 2PIN_Dupont_socket_1.27mm          7742.008      3719.055      90       
J16        CCD            TopLayer HDR1X5                             5982.008      2676.992      180      
J15        "servo drive"  TopLayer HDR1X3                             4802.008      4988.504      0        
J14        BM             TopLayer HDR2X4                             6507.008      2726.992      0        
J13        CON2           TopLayer 2PIN_Dupont_socket_1.27mm          7742.008      3949.055      90       
J12        "HEADER 11X2"  TopLayer HDR2X11                            7125.340      3928.723      270      
J11        "HEADER 11X2"  TopLayer HDR2X11                            5885.970      3928.723      270      
J10        "HEADER 10X2"  TopLayer HDR2X10                            6505.655      3278.723      180      
J9         bluetooth      TopLayer HDR1X4                             7225.340      4988.504      0        
J8         "motor drive"  TopLayer HDR2X3                             6190.970      4938.504      180      
J7         CON12          TopLayer HDR2X6                             5567.008      3678.723      90       
J6         CON12_2        TopLayer HDR2X6                             5567.008      4369.055      90       
J5         OLED           TopLayer HDR1X6                             7082.008      2676.992      180      
J4         CON4           TopLayer B0505S-2W                          4767.472      2869.055      0        
J3         AD-KEY         TopLayer HDR1X3                             5882.008      2970.118      180      
J2         +              TopLayer Single-sided_pad_2*3MM_1PIN        4190.673      3604.055      270      
J1         -              TopLayer Single-sided_pad_2*3MM_1PIN        4190.673      3170.105      270      
H4         HOLE           TopLayer Copper_Pillar_Hole×3               4133.858      2755.905      0        
H3         HOLE           TopLayer Copper_Pillar_Hole×3               4133.858      4921.260      0        
H2         HOLE           TopLayer Copper_Pillar_Hole×3               7677.165      4921.260      0        
H1         HOLE           TopLayer Copper_Pillar_Hole×3               7677.165      2755.905      0        
D9         "Diode 1N4005" TopLayer SS34_3D                            7567.008      3094.055      270      
D8         LED_2          TopLayer 0805D                              5272.008      4966.654      90       
D7         LED_2          TopLayer 0805D                              5127.008      4966.654      90       
D6         LED_2          TopLayer 0805D                              6797.008      4966.654      90       
D5         LED_2          TopLayer 0805D                              6652.008      4966.654      90       
D4         LED_2          TopLayer 0805D                              6507.008      4966.654      90       
D3         1N5819         TopLayer 0805D                              4647.008      4076.457      90       
D2         SS34           TopLayer 0805D                              4647.008      3864.055      270      
D1         1N5819         TopLayer 0805D                              5377.008      3279.055      0        
C17        CAP104         TopLayer 0805C                              7432.008      3049.055      90       
C16        22uF           TopLayer B-type_Tantalum_Capacitors_3528_21 5087.008      2999.055      0        
C15        0.1uF          TopLayer 0805C                              4832.008      2970.512      180      
C14        0.1uF          TopLayer 0805C                              4500.291      3209.055      180      
C13        22uF           TopLayer B-type_Tantalum_Capacitors_3528_21 4522.008      3329.055      180      
C12        22uF           TopLayer B-type_Tantalum_Capacitors_3528_21 4802.008      4239.055      90       
C11        22uF           TopLayer B-type_Tantalum_Capacitors_3528_21 4802.008      4514.055      270      
C10        4.7uF          TopLayer 0805C                              4687.008      3072.638      90       
C9         0.1uF          TopLayer 0805C                              4937.260      3862.086      90       
C8         22uF           TopLayer C-type_Tantalum_Capacitors_6032_28 4802.008      3943.779      90       
C7         47uF           TopLayer D-type_Tantalum_Capacitors_7343_31 4385.311      4169.055      180      
C6         100uF          TopLayer D-type_Tantalum_Capacitors_7343_31 5082.008      3641.520      0        
C5         0.1uF          TopLayer 0805C                              5182.008      3789.055      0        
C4         10uF           TopLayer 0805C                              4887.008      3444.055      90       
C3         47uF           TopLayer C-type_Tantalum_Capacitors_6032_28 5082.008      3144.055      0        
C2         4.7uF          TopLayer 0805C                              5637.008      3129.055      270      
C1         4.7uF          TopLayer 0805C                              5337.008      3129.055      90       
